The solution is   -3.0000031

Time taken is    0.9036435 seconds

Number of iterations is 21


Iteration          Xl          Xu          Xr        |Ea|
   1        -25.00000     0.00000   -12.50000
   2        -12.50000     0.00000    -6.25000     6.25000
   3         -6.25000     0.00000    -3.12500     3.12500
   4         -3.12500     0.00000    -1.56250     1.56250
   5         -3.12500    -1.56250    -2.34375     0.78125
   6         -3.12500    -2.34375    -2.73438     0.39063
   7         -3.12500    -2.73438    -2.92969     0.19531
   8         -3.12500    -2.92969    -3.02734     0.09766
   9         -3.02734    -2.92969    -2.97852     0.04883
  10         -3.02734    -2.97852    -3.00293     0.02441
  11         -3.00293    -2.97852    -2.99072     0.01221
  12         -3.00293    -2.99072    -2.99683     0.00610
  13         -3.00293    -2.99683    -2.99988     0.00305
  14         -3.00293    -2.99988    -3.00140     0.00153
  15         -3.00140    -2.99988    -3.00064     0.00076
  16         -3.00064    -2.99988    -3.00026     0.00038
  17         -3.00026    -2.99988    -3.00007     0.00019
  18         -3.00007    -2.99988    -2.99997     0.00010
  19         -3.00007    -2.99997    -3.00002     0.00005
  20         -3.00002    -2.99997    -3.00000     0.00002
  21         -3.00002    -3.00000    -3.00001     0.00001
