The solution is   -0.7873942

Time taken is    0.0112126 seconds

Number of iterations is 16


Iteration          Xl          Xu          Xr        |Ea|
   1         -1.00000     0.00000     0.00000
   2         -1.00000    -0.75000    -0.93750     0.18750
   3         -0.93750    -0.75000    -0.77643     0.16107
   4         -0.93750    -0.77643    -0.80725     0.03082
   5         -0.80725    -0.77643    -0.77844     0.02881
   6         -0.80725    -0.77844    -0.78864     0.01020
   7         -0.78864    -0.77844    -0.78160     0.00705
   8         -0.78864    -0.78160    -0.78778     0.00619
   9         -0.78778    -0.78160    -0.78669     0.00109
  10         -0.78778    -0.78669    -0.78772     0.00103
  11         -0.78772    -0.78669    -0.78736     0.00036
  12         -0.78772    -0.78736    -0.78761     0.00025
  13         -0.78761    -0.78736    -0.78739     0.00022
  14         -0.78761    -0.78739    -0.78743     0.00004
  15         -0.78743    -0.78739    -0.78739     0.00004
  16         -0.78743    -0.78739    -0.78740     0.00001
